Category: All categories

Country,Google Cloud Platform: (11/1/11 - 9/19/16)
Taiwan,100
Hong Kong,70
South Korea,66
Singapore,65
Japan,52
Israel,49
Sri Lanka,48
St. Helena,
India,39
Ireland,34
United States,33
Canada,31
Philippines,29
Finland,28
Netherlands,26
Bangladesh,26
Bulgaria,25
Sweden,24
Czechia,23
Switzerland,23
United Kingdom,22
Belgium,21
Malaysia,21
South Africa,20
Greece,20
Romania,20
Spain,20
Australia,19
United Arab Emirates,19
Vietnam,18
Colombia,18
Denmark,18
Norway,18
New Zealand,17
Belarus,
China,17
Thailand,17
Ukraine,16
Hungary,16
Italy,15
France,15
Nigeria,14
Morocco,14
Portugal,14
Germany,14
Egypt,13
Austria,13
Peru,13
Pakistan,12
Mexico,12
Russia,11
Chile,11
Argentina,11
Brazil,11
Indonesia,10
Algeria,
Saudi Arabia,9
Poland,8
Turkey,4
Papua New Guinea,
Monaco,
Cayman Islands,
Barbados,
Curaçao,
French Guiana,
Benin,
Madagascar,
Kosovo,
Botswana,
Nepal,
Cambodia,
Uganda,
Macau,
Myanmar (Burma),
El Salvador,
Mauritius,
Congo - Kinshasa,
Cyprus,
Afghanistan,
Malta,
Kenya,
Ethiopia,
Palestine,
Zimbabwe,
Honduras,
Guadeloupe,
Albania,
Panama,
Cameroon,
Ghana,
Tunisia,
Oman,
Estonia,
Mozambique,
Uruguay,
Iceland,
Guatemala,
Mongolia,
Dominican Republic,
Angola,
Montenegro,
Latvia,
Costa Rica,
Tanzania,
Bahrain,
Macedonia (FYROM),
Senegal,
Armenia,
Bosnia & Herzegovina,
Côte d’Ivoire,
Paraguay,
Ecuador,
Trinidad & Tobago,
Jamaica,
Uzbekistan,
Serbia,
Georgia,
Lebanon,
Qatar,
Slovenia,
Libya,
Réunion,
Nicaragua,
Puerto Rico,
Kuwait,
Syria,
Lithuania,
Bolivia,
Jordan,
Croatia,
Moldova,
Kazakhstan,
Venezuela,
Slovakia,
Azerbaijan,
Iran,
Iraq,
Aruba,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Caribbean Netherlands,
Burkina Faso,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Brunei,
Bhutan,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Gibraltar,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guam,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
St. Lucia,
Liechtenstein,
Lesotho,
Luxembourg,
St. Martin,
Maldives,
Marshall Islands,
Mali,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
French Polynesia,
Rwanda,
Sudan,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Yemen,
Zambia,
