Category: All categories

Week,Google Cloud Platform: (Worldwide)
2011-11-06,5
2011-11-13,2
2011-11-20,2
2011-11-27,2
2011-12-04,3
2011-12-11,7
2011-12-18,2
2011-12-25,2
2012-01-01,2
2012-01-08,2
2012-01-15,2
2012-01-22,3
2012-01-29,4
2012-02-05,5
2012-02-12,2
2012-02-19,3
2012-02-26,2
2012-03-04,0
2012-03-11,2
2012-03-18,0
2012-03-25,4
2012-04-01,0
2012-04-08,2
2012-04-15,0
2012-04-22,2
2012-04-29,4
2012-05-06,2
2012-05-13,0
2012-05-20,3
2012-05-27,3
2012-06-03,4
2012-06-10,3
2012-06-17,8
2012-06-24,6
2012-07-01,2
2012-07-08,4
2012-07-15,2
2012-07-22,3
2012-07-29,5
2012-08-05,6
2012-08-12,8
2012-08-19,4
2012-08-26,3
2012-09-02,2
2012-09-09,3
2012-09-16,3
2012-09-23,6
2012-09-30,5
2012-10-07,4
2012-10-14,6
2012-10-21,4
2012-10-28,6
2012-11-04,5
2012-11-11,7
2012-11-18,2
2012-11-25,9
2012-12-02,6
2012-12-09,4
2012-12-16,3
2012-12-23,4
2012-12-30,6
2013-01-06,7
2013-01-13,6
2013-01-20,7
2013-01-27,9
2013-02-03,6
2013-02-10,3
2013-02-17,7
2013-02-24,3
2013-03-03,4
2013-03-10,3
2013-03-17,7
2013-03-24,5
2013-03-31,5
2013-04-07,4
2013-04-14,4
2013-04-21,3
2013-04-28,6
2013-05-05,7
2013-05-12,21
2013-05-19,9
2013-05-26,7
2013-06-02,7
2013-06-09,9
2013-06-16,11
2013-06-23,14
2013-06-30,6
2013-07-07,4
2013-07-14,14
2013-07-21,3
2013-07-28,11
2013-08-04,9
2013-08-11,9
2013-08-18,11
2013-08-25,5
2013-09-01,12
2013-09-08,8
2013-09-15,12
2013-09-22,9
2013-09-29,9
2013-10-06,17
2013-10-13,14
2013-10-20,18
2013-10-27,12
2013-11-03,15
2013-11-10,12
2013-11-17,20
2013-11-24,16
2013-12-01,36
2013-12-08,23
2013-12-15,23
2013-12-22,14
2013-12-29,9
2014-01-05,16
2014-01-12,14
2014-01-19,20
2014-01-26,14
2014-02-02,21
2014-02-09,18
2014-02-16,22
2014-02-23,17
2014-03-02,15
2014-03-09,29
2014-03-16,12
2014-03-23,64
2014-03-30,28
2014-04-06,32
2014-04-13,33
2014-04-20,25
2014-04-27,24
2014-05-04,21
2014-05-11,19
2014-05-18,19
2014-05-25,23
2014-06-01,18
2014-06-08,24
2014-06-15,23
2014-06-22,37
2014-06-29,36
2014-07-06,26
2014-07-13,21
2014-07-20,24
2014-07-27,27
2014-08-03,31
2014-08-10,18
2014-08-17,26
2014-08-24,22
2014-08-31,22
2014-09-07,22
2014-09-14,37
2014-09-21,19
2014-09-28,24
2014-10-05,24
2014-10-12,22
2014-10-19,30
2014-10-26,38
2014-11-02,76
2014-11-09,37
2014-11-16,47
2014-11-23,33
2014-11-30,33
2014-12-07,41
2014-12-14,34
2014-12-21,31
2014-12-28,22
2015-01-04,27
2015-01-11,34
2015-01-18,40
2015-01-25,38
2015-02-01,35
2015-02-08,35
2015-02-15,33
2015-02-22,29
2015-03-01,51
2015-03-08,47
2015-03-15,33
2015-03-22,45
2015-03-29,47
2015-04-05,39
2015-04-12,49
2015-04-19,32
2015-04-26,23
2015-05-03,35
2015-05-10,28
2015-05-17,52
2015-05-24,38
2015-05-31,51
2015-06-07,36
2015-06-14,39
2015-06-21,42
2015-06-28,40
2015-07-05,31
2015-07-12,31
2015-07-19,36
2015-07-26,33
2015-08-02,28
2015-08-09,39
2015-08-16,38
2015-08-23,35
2015-08-30,34
2015-09-06,29
2015-09-13,43
2015-09-20,38
2015-09-27,36
2015-10-04,24
2015-10-11,43
2015-10-18,39
2015-10-25,36
2015-11-01,37
2015-11-08,31
2015-11-15,46
2015-11-22,42
2015-11-29,55
2015-12-06,48
2015-12-13,46
2015-12-20,37
2015-12-27,24
2016-01-03,27
2016-01-10,34
2016-01-17,49
2016-01-24,46
2016-01-31,50
2016-02-07,46
2016-02-14,44
2016-02-21,53
2016-02-28,54
2016-03-06,56
2016-03-13,91
2016-03-20,100
2016-03-27,74
2016-04-03,75
2016-04-10,72
2016-04-17,67
2016-04-24,64
2016-05-01,61
2016-05-08,63
2016-05-15,65
2016-05-22,61
2016-05-29,62
2016-06-05,68
2016-06-12,59
2016-06-19,64
2016-06-26,62
2016-07-03,56
2016-07-10,65
2016-07-17,72
2016-07-24,60
2016-07-31,54
2016-08-07,72
2016-08-14,64
2016-08-21,79
2016-08-28,72
2016-09-04,59
2016-09-11,92
2016-09-18,63
